plot_id,block,row,col,line,treatment,yield,height
P001,B1,1,1,L099,T4,47.67,81.02
P002,B1,1,2,L002,T2,47.33,80.88
P003,B1,1,3,L003,T3,41.06,80.01
P004,B1,1,4,L004,T2,44.72,80.27
P005,B1,1,5,L005,T3,40.51,81.46
P006,B1,1,6,L098,T4,45.13,83.48
P007,B1,2,1,L007,T3,42.85,79.30
P008,B1,2,2,L008,T1,51.96,81.91
P009,B1,2,3,L009,T2,47.25,81.30
P010,B1,2,4,L010,T1,51.33,83.28
P011,B1,2,5,L011,T2,47.75,83.80
P012,B1,2,6,L012,T3,40.91,82.36
P013,B1,3,1,L013,T2,49.86,81.41
P014,B1,3,2,L014,T3,45.13,82.08
P015,B1,3,3,L015,T1,53.05,83.50
P016,B1,3,4,L016,T3,43.71,82.66
P017,B1,3,5,L017,T1,51.27,83.72
P018,B1,3,6,L018,T2,45.07,81.62
P019,B2,4,1,L019,T1,58.33,84.28
P020,B2,4,2,L020,T2,52.71,82.76
P021,B2,4,3,L021,T3,,81.50
P022,B2,4,4,L022,T2,50.42,82.47
P023,B2,4,5,L023,T3,43.92,81.37
P024,B2,4,6,L024,T1,52.68,83.63
P025,B2,5,1,L025,T3,49.12,82.07
P026,B2,5,2,L026,T1,55.79,82.24
P027,B2,5,3,L027,T2,51.52,82.07
P028,B2,5,4,L028,T1,55.54,83.99
P029,B2,5,5,L029,T2,50.88,83.43
P030,B2,5,6,L030,T3,46.38,84.33
P031,B2,6,1,L031,T2,53.53,81.58
P032,B2,6,2,L032,T3,48.06,81.51
P033,B2,6,3,L033,T1,58.06,85.01
P034,B2,6,4,L034,T3,48.36,83.81
P035,B2,6,5,L035,T1,56.34,85.29
P036,B2,6,6,L036,T2,51.74,84.79
P037,B3,7,1,L037,T1,61.81,83.76
P038,B3,7,2,L038,T2,58.36,84.41
P039,B3,7,3,L039,T3,52.92,84.37
P040,B3,7,4,L040,T2,55.68,83.73
P041,B3,7,5,L041,T3,49.72,83.17
P042,B3,7,6,L042,T1,57.92,84.87
P043,B3,8,1,L043,T3,54.49,83.44
P044,B3,8,2,L044,T1,63.02,85.47
P045,B3,8,3,L045,T2,56.91,
P046,B3,8,4,L046,T1,59.47,83.92
P047,B3,8,5,L047,T2,55.94,84.49
P048,B3,8,6,L048,T3,50.51,84.46
P049,B3,9,1,L049,T2,59.43,83.48
P050,B3,9,2,L050,T3,53.57,83.02
P051,B3,9,3,L051,T1,61.24,84.19
P052,B3,9,4,L052,T3,52.86,84.31
P053,B3,9,5,L053,T1,62.26,87.21
P299,B3,7,1,L299,T2,57.81,82.86
